Time,Quadrant Number,Ball Colour,Type
2.662877777777778,3,yellow,Entry
9.08688888888889,1,green,Entry
9.253333333333334,1,green,Exit
9.253333333333334,4,green,Entry
12.082422222222222,1,orange,Entry
12.115766666666667,1,orange,Exit
12.182455555555556,1,orange,Entry
12.315477777777778,1,orange,Exit
13.3472,1,orange,Entry
18.106944444444444,4,green,Exit
18.140322222222224,4,green,Entry
18.2069,1,white,Entry
18.2069,4,green,Exit
18.2069,1,green,Entry
18.2069,1,green,Exit
18.2069,4,green,Entry
18.2401,1,white,Exit
18.2401,4,green,Exit
18.2401,1,green,Entry
18.273466666666668,1,green,Exit
20.902977777777778,1,orange,Exit
26.960922222222223,1,orange,Exit
26.960922222222223,2,orange,Entry
26.960922222222223,2,orange,Entry
27.36028888888889,2,orange,Exit
28.02606666666667,2,orange,Entry
29.690255555555556,3,yellow,Exit
29.889933333333335,2,orange,Exit
29.92321111111111,2,orange,Entry
32.885577777777776,1,green,Entry
33.1186,1,green,Exit
33.1186,2,green,Entry
33.15188888888889,2,green,Exit
33.15188888888889,3,green,Entry
33.285044444444445,3,green,Exit
33.4182,3,green,Entry
35.981122222222226,3,yellow,Exit
35.981122222222226,1,yellow,Entry
35.981122222222226,1,yellow,Entry
36.84647777777778,1,yellow,Exit
37.04623333333333,1,yellow,Entry
41.80592222222222,2,orange,Exit
43.86958888888889,1,yellow,Exit
46.632422222222225,3,green,Exit
46.665711111111115,3,green,Exit
46.665711111111115,1,green,Entry
46.665711111111115,1,green,Entry
46.798766666666666,1,green,Exit
48.662755555555556,1,yellow,Entry
48.72933333333334,1,yellow,Exit
48.89567777777778,1,yellow,Exit
48.89567777777778,3,yellow,Entry
48.89567777777778,3,yellow,Entry
49.19531111111112,3,yellow,Exit
49.26188888888889,3,yellow,Entry
51.79163333333334,2,orange,Exit
51.79163333333334,1,orange,Entry
51.79163333333334,1,orange,Entry
54.08825555555556,1,white,Entry
54.121544444444446,1,white,Exit
54.78732222222222,1,green,Entry
54.95365555555556,1,green,Exit
54.95365555555556,4,green,Entry
54.95365555555556,1,orange,Exit
55.219944444444444,1,orange,Entry
55.2533,1,orange,Exit
55.35308888888889,1,white,Entry
55.35308888888889,4,green,Exit
55.35308888888889,1,green,Entry
55.35308888888889,1,orange,Entry
55.48623333333334,1,green,Exit
55.51958888888889,1,white,Exit
56.35166666666667,1,green,Entry
56.518055555555556,1,green,Exit
56.518055555555556,4,green,Entry
56.65116666666667,1,orange,Exit
56.751000000000005,1,orange,Entry
57.117222222222225,1,white,Entry
57.15061111111111,1,white,Exit
57.21707777777778,1,white,Entry
57.283655555555555,1,white,Exit
58.781400000000005,1,white,Entry
58.81467777777778,1,white,Exit
63.84086666666667,1,orange,Exit
64.77287777777778,4,green,Exit
64.80616666666667,4,green,Entry
64.90603333333334,4,green,Exit
64.90603333333334,1,green,Entry
65.0059,1,green,Exit
66.50362222222222,3,yellow,Exit
69.3993888888889,3,yellow,Exit
69.3993888888889,1,yellow,Entry
69.3993888888889,1,yellow,Entry
69.66571111111111,1,yellow,Exit
69.89874444444445,1,yellow,Entry
69.99861111111112,1,yellow,Exit
70.3315,1,yellow,Entry
73.66001111111112,1,yellow,Exit
73.89303333333334,1,yellow,Entry
75.92342222222223,1,green,Exit
75.92342222222223,2,green,Entry
75.92342222222223,2,green,Entry
77.35464444444445,1,orange,Entry
77.45447777777778,1,orange,Exit
77.45447777777778,4,orange,Entry
77.62086666666667,1,yellow,Exit
77.75397777777778,1,white,Exit
77.75397777777778,4,white,Entry
77.75397777777778,4,white,Entry
77.8870888888889,1,yellow,Entry
77.8870888888889,4,orange,Exit
77.95364444444445,4,orange,Entry
78.22005555555556,1,yellow,Exit
78.31992222222223,1,yellow,Entry
84.27792222222223,1,yellow,Exit
84.97704444444445,2,green,Exit
85.94222222222223,4,orange,Exit
85.97550000000001,4,white,Exit
89.80336666666668,4,orange,Exit
89.80336666666668,1,orange,Entry
89.80336666666668,1,orange,Entry
90.46896666666667,1,orange,Exit
90.76856666666667,1,orange,Entry
92.89893333333333,1,orange,Exit
93.39805555555556,4,white,Exit
93.39805555555556,1,white,Entry
93.39805555555556,1,white,Entry
93.43141111111112,1,orange,Entry
93.79747777777779,1,orange,Exit
93.99732222222222,1,white,Exit
94.29685555555557,1,white,Entry
94.29685555555557,1,orange,Entry
94.33014444444444,1,white,Exit
95.36191111111111,1,white,Entry
95.62815555555557,1,white,Exit
97.85831111111112,2,green,Exit
97.85831111111112,1,green,Entry
97.85831111111112,1,green,Entry
97.99145555555556,1,orange,Exit
98.02465555555555,1,green,Exit
98.02465555555555,4,green,Entry
98.15787777777778,1,orange,Entry
99.48927777777779,1,orange,Exit
100.32131111111111,1,yellow,Exit
100.32131111111111,3,yellow,Entry
100.32131111111111,3,yellow,Entry
100.5543888888889,1,white,Entry
100.5543888888889,1,orange,Entry
